date,spent
2014-01-15,6936
2014-02-15,6344
2014-03-15,7405
2014-04-15,6969
2014-05-15,7353
2014-06-15,7454
2014-07-15,7891
2014-08-15,7767
2014-09-15,8016
2014-10-15,8109
2014-11-15,7851
2014-12-15,10541
2015-01-15,7752
2015-02-15,7391
2015-03-15,8411
2015-04-15,7865
2015-05-15,8318
2015-06-15,8660
2015-07-15,9096
2015-08-15,9222
2015-09-15,8620
2015-10-15,9086
2015-11-15,8918
2015-12-15,10586
2016-01-15,9011
2016-02-15,9089
2016-03-15,9741
2016-04-15,9730
2016-05-15,9932
2016-06-15,10389
2016-07-15,10464
2016-08-15,11173
2016-09-15,10457
2016-10-15,10983
2016-11-15,10722
2016-12-15,12553
2017-01-15,10711
2017-02-15,10278
2017-03-15,11531
2017-04-15,10960
2017-05-15,12268
2017-06-15,12032
2017-07-15,12725
2017-08-15,12803
2017-09-15,12302
2017-10-15,12940
2017-11-15,12722
2017-12-15,14165
2018-01-15,13041
2018-02-15,11829
2018-03-15,13578
2018-04-15,13342
2018-05-15,14165
2018-06-15,14192
2018-07-15,14643
2018-08-15,14824
2018-09-15,13723
2018-10-15,14997
2018-11-15,14576
2018-12-15,16755
2019-01-15,13745
